[9/7/23, 8:51:45 AM] Yara: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
‎[9/7/23, 8:51:45 AM] Yara: ‎image omitted
‎[11/1/23, 8:49:07 PM] Yara: ‎sticker omitted
[11/1/23, 8:49:16 PM] Ismael: Dokis
[11/1/23, 8:49:19 PM] Ismael: No es cierto
[11/1/23, 8:49:24 PM] Ismael: Ay no se
[11/1/23, 8:49:27 PM] Ismael: No me acuerdo el nombre
[11/1/23, 8:49:29 PM] Ismael: Por qué
[11/1/23, 8:49:38 PM] Ismael: Algo como dokis
[11/1/23, 8:50:00 PM] Yara: Cukis no? JAJAJA
‎[11/1/23, 8:50:02 PM] Yara: ‎sticker omitted
[11/1/23, 8:50:10 PM] Ismael: Ándale
‎[11/1/23, 8:50:15 PM] Yara: ‎image omitted
[11/1/23, 8:50:31 PM] Ismael: Acabo de venirme a mi casa
[11/1/23, 8:50:32 PM] Yara: Te voy ayudar en tu negocio
‎[11/1/23, 8:50:33 PM] Yara: ‎sticker omitted
[11/1/23, 8:50:42 PM] Yara: Nombree isma
‎[11/1/23, 8:50:46 PM] Yara: ‎sticker omitted
[11/1/23, 8:50:50 PM] Ismael: Ando muy cansado yara
[11/1/23, 8:51:00 PM] Ismael: Fui de 6 a 8:30
[11/1/23, 8:51:03 PM] Ismael: Me explotaron
‎[11/1/23, 8:51:28 PM] Ismael: ‎image omitted
[11/1/23, 8:51:30 PM] Yara: Ni modo isma te van a pagar
[11/1/23, 8:51:37 PM] Yara: AYYY QUE HERMOSO
‎[11/1/23, 8:51:42 PM] Ismael: ‎image omitted
[11/1/23, 8:51:44 PM] Yara: De quien es
‎[11/1/23, 8:51:51 PM] Yara: ‎sticker omitted
[11/1/23, 8:51:53 PM] Ismael: Una prima
[11/1/23, 8:51:56 PM] Yara: Que cosita más hermosa
[11/1/23, 8:52:05 PM] Ismael: Si
[11/1/23, 8:52:09 PM] Ismael: Me mordió cuando llegué
[11/1/23, 8:52:12 PM] Ismael: Pero ya me quiere
[11/1/23, 8:52:52 PM] Yara: Ayyy toda agresiva que bonita
[11/1/23, 8:52:56 PM] Yara: Mañana trabajas?
‎[11/1/23, 8:53:02 PM] Yara: ‎sticker omitted
[11/1/23, 8:53:04 PM] Ismael: Es bonito
[11/1/23, 8:53:18 PM] Ismael: Por que?
‎[11/1/23, 8:53:23 PM] Ismael: ‎sticker omitted
[11/1/23, 8:53:38 PM] Yara: Ay es niñito
[11/1/23, 8:53:54 PM] Yara: Quiero saber
‎[11/1/23, 8:53:57 PM] Yara: ‎sticker omitted
[11/1/23, 8:54:04 PM] Ismael: No se
[11/1/23, 8:54:12 PM] Ismael: Igual si vas no voy a estar ahí yara
[11/1/23, 8:54:17 PM] Ismael: Yo ando en el almacén
[11/1/23, 8:54:19 PM] Ismael: Arribita
[11/1/23, 8:55:31 PM] Yara: Wakala el almacén
‎[11/1/23, 8:55:32 PM] Yara: ‎sticker omitted
‎[11/1/23, 8:56:07 PM] Yara: ‎image omitted
‎[11/1/23, 8:56:18 PM] Yara: ‎sticker omitted
[11/1/23, 8:56:32 PM] Ismael: Buenaaa
[11/1/23, 9:06:41 PM] Ismael: Yara pero esa es de la misma dueña
[11/1/23, 9:06:46 PM] Ismael: Ahí trabajo yo también
[11/1/23, 9:06:49 PM] Ismael: Se llama
[11/1/23, 9:06:51 PM] Ismael: Aydee
[11/1/23, 9:07:33 PM] Yara: Con mas razón tenían afuera un  bote que decia cukis
‎[11/1/23, 9:07:36 PM] Yara: ‎sticker omitted
[11/1/23, 9:07:54 PM] Yara: Te ayude en tu negocio entonces
‎[11/1/23, 9:07:55 PM] Yara: ‎sticker omitted
[11/2/23, 9:49:05 PM] Yara: Isma vas a ir mañana??
[11/2/23, 9:50:57 PM] Ismael: Creo que no
‎[11/2/23, 9:53:00 PM] Yara: ‎sticker omitted
[11/6/23, 7:16:43 PM] Yara: Ismaaaaa
[11/6/23, 7:16:54 PM] Yara: Tienes la pag 23 de matemáticas?
‎[11/6/23, 7:17:02 PM] Yara: ‎sticker omitted
‎[11/12/23, 7:56:52 PM] Ismael: ‎image omitted
[11/12/23, 7:58:32 PM] Yara: Míralo todo lindo, todo hermoso con su pastelito
‎[11/12/23, 7:58:33 PM] Yara: ‎sticker omitted
[11/14/23, 9:10:27 PM] Yara: Jesus Ismael valdez meza
‎[11/14/23, 9:10:29 PM] Yara: ‎sticker omitted
‎[11/14/23, 9:10:57 PM] Ismael: ‎image omitted
[11/14/23, 9:13:28 PM] Yara: No isma no, eso no se hace
‎[11/14/23, 9:13:29 PM] Yara: ‎sticker omitted
‎[11/16/23, 10:57:56 AM] Yara: ‎image omitted
‎[11/16/23, 10:57:56 AM] Yara: ‎image omitted
‎[11/16/23, 10:57:56 AM] Yara: ‎image omitted
‎[11/16/23, 10:57:56 AM] Yara: ‎image omitted
‎[11/16/23, 10:57:56 AM] Yara: ‎image omitted
[11/21/23, 5:06:20 PM] Ismael: Tara
[11/21/23, 5:06:21 PM] Ismael: Yara
[11/21/23, 5:06:24 PM] Ismael: Tienes lo de cómputo?
[11/21/23, 5:06:32 PM] Ismael: El producto integrador de la tercera unidad
[11/21/23, 5:06:55 PM] Yara: Que es?
‎[11/21/23, 5:06:57 PM] Yara: ‎sticker omitted
[11/21/23, 5:07:06 PM] Ismael: Yara
[11/21/23, 5:07:09 PM] Ismael: Es de 4 a 6
[11/21/23, 5:07:13 PM] Ismael: Entra
[11/21/23, 5:07:15 PM] Ismael: A la plataforma
[11/21/23, 5:07:41 PM] Yara: No me sale
[11/21/23, 5:07:45 PM] Yara: En dondeee
‎[11/21/23, 5:07:52 PM] Yara: ‎sticker omitted
[11/21/23, 5:07:55 PM] Ismael: La última semana
[11/21/23, 5:08:43 PM] Yara: Dime el numero de la semana jesus ismael
[11/21/23, 5:08:56 PM] Ismael: eNo s
[11/21/23, 5:08:58 PM] Ismael: La última
[11/21/23, 5:09:25 PM] Yara: Pero a la ultima ni llegamos
‎[11/21/23, 5:09:31 PM] Yara: ‎sticker omitted
[11/21/23, 5:09:36 PM] Ismael: Como no
[11/21/23, 5:09:39 PM] Ismael: De la 3
[11/21/23, 5:09:56 PM] Yara: Pasame cap
[11/21/23, 5:10:27 PM] Ismael: no puedo
‎[11/21/23, 5:10:46 PM] Yara: ‎sticker omitted
[11/21/23, 5:10:51 PM] Yara: A ver espera
‎[11/21/23, 5:12:27 PM] Yara: ‎image omitted
[11/21/23, 5:12:44 PM] Ismael: La 9
[11/21/23, 5:14:13 PM] Yara: Nou
[11/21/23, 5:14:21 PM] Yara: Ni sabia que teniamos que hacer eso
‎[11/21/23, 5:14:25 PM] Yara: ‎sticker omitted
[11/24/23, 8:40:12 AM] Yara: Jesus Ismael Valdez Meza por que no viniste
‎[11/24/23, 8:40:26 AM] Yara: ‎sticker omitted
[11/24/23, 9:10:22 AM] Ismael: Me voy a morir yara
[11/24/23, 9:13:33 AM] Yara: Por que?
[11/24/23, 9:13:38 AM] Yara: Igual tienes que venir
[11/24/23, 9:13:44 AM] Yara: Es malo faltar
‎[11/24/23, 9:13:49 AM] Yara: ‎sticker omitted
[11/25/23, 4:01:02 PM] Yara: Isma
[11/25/23, 4:01:07 PM] Yara: Vas a venir?
[11/25/23, 4:01:20 PM] Ismael: a donde
‎[11/25/23, 4:03:35 PM] Yara: ‎image omitted
‎[11/25/23, 4:03:43 PM] Yara: ‎sticker omitted
[11/25/23, 4:05:36 PM] Ismael: ingatu
[11/25/23, 4:05:42 PM] Ismael: no puedo
[11/25/23, 4:06:06 PM] Yara: Ay isma
‎[11/26/23, 1:13:43 AM] Ismael: ‎image omitted
[11/26/23, 3:02:29 AM] Yara: Que cosita mas preciosa
‎[11/26/23, 3:03:05 AM] Yara: ‎sticker omitted
‎[11/27/23, 8:29:22 AM] Yara: ‎image omitted
[12/10/23, 7:57:59 PM] Yara: Isma Isma Isma
[12/10/23, 7:59:22 PM] Ismael: mande
[12/10/23, 8:02:46 PM] Yara: Hiciste lo de mecánica??
‎[12/10/23, 8:02:46 PM] Yara: ‎sticker omitted
[12/10/23, 8:03:03 PM] Ismael: si
[12/10/23, 8:03:08 PM] Ismael: pero no estoy en mi casa
[12/10/23, 8:03:22 PM] Ismael: tengo el de Paulina
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:33 PM] Ismael: ‎image omitted
‎[12/10/23, 8:03:34 PM] Yara: ‎sticker omitted
[12/10/23, 8:03:42 PM] Ismael: está revuelto
[12/10/23, 8:03:46 PM] Ismael: pero ahí está
[12/10/23, 8:03:56 PM] Yara: Gracias gracias
‎[12/10/23, 8:03:56 PM] Yara: ‎sticker omitted
[12/10/23, 8:04:25 PM] Ismael: trata de no copiarlo igual
[12/10/23, 8:05:07 PM] Yara: Y que le cambio?, el orden de como lo anoto?
[12/10/23, 8:05:17 PM] Ismael: So
[12/10/23, 8:05:20 PM] Ismael: si
‎[12/10/23, 8:29:39 PM] Yara: ‎image omitted
[12/14/23, 5:46:06 AM] Ismael: Yara
[12/14/23, 5:46:15 AM] Ismael: Llegaré tarde
[12/14/23, 5:46:35 AM] Ismael: Guardame la calificación de historia porfa
‎[12/14/23, 5:47:20 AM] Yara: ‎sticker omitted
[12/14/23, 5:47:24 AM] Yara: Oki
[12/14/23, 8:19:12 AM] Yara: Vas a venir??
[12/14/23, 8:19:36 AM] Ismael: Al rato
[12/14/23, 8:20:02 AM] Yara: Como que al rato
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:20 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
‎[12/14/23, 9:10:37 AM] Yara: ‎image omitted
[12/15/23, 7:50:12 AM] Yara: Vas a venir??
‎[12/15/23, 8:33:44 AM] Yara: ‎image omitted
[12/15/23, 10:16:06 AM] Ismael: Neee
[12/15/23, 10:16:11 AM] Ismael: Que me salió mal
[12/15/23, 10:25:00 AM] Yara: Ahorita lo checo
[12/15/23, 10:25:05 AM] Yara: Yo saqué 8
‎[12/15/23, 10:25:06 AM] Yara: ‎sticker omitted
[12/15/23, 10:25:13 AM] Yara: No que era lo mismo
[12/15/23, 10:25:25 AM] Ismael: era de Paulina
[12/15/23, 10:25:35 AM] Yara: Ella sacó 8.5
‎[12/15/23, 10:25:38 AM] Yara: ‎sticker omitted
[12/15/23, 10:25:49 AM] Ismael: que burra
[12/15/23, 10:25:54 AM] Ismael: Y Paul?
[12/15/23, 10:26:28 AM] Yara: Pues si ella es burra con 8.5 como estaré yo con el 8 que me saque
‎[12/15/23, 10:26:29 AM] Yara: ‎sticker omitted
[12/15/23, 10:26:32 AM] Yara: 10
[12/15/23, 10:26:44 AM] Yara: El Abraham, el ángel y Paul
[12/15/23, 10:26:50 AM] Ismael: neee
[12/16/23, 7:28:59 PM] Yara: Isma
[12/16/23, 8:08:00 PM] Ismael: ?
[12/16/23, 8:14:41 PM] Yara: No ya nada
[12/18/23, 7:26:26 PM] Yara: Vas a ir mañana??
‎[12/18/23, 7:26:27 PM] Yara: ‎sticker omitted
[12/18/23, 7:27:23 PM] Ismael: yo creo
[12/20/23, 3:15:43 AM] Ismael: ‎You deleted this message.
‎[12/20/23, 3:16:18 AM] Yara: ‎sticker omitted
[12/22/23, 3:20:16 PM] Yara: Isma vas a estar en tu casa hoy?
‎[12/22/23, 3:20:17 PM] Yara: ‎sticker omitted
[12/22/23, 3:20:31 PM] Ismael: no
[12/22/23, 3:20:33 PM] Ismael: por qué
[12/22/23, 3:23:05 PM] Yara: No pues ya no
‎[12/22/23, 3:23:07 PM] Yara: ‎sticker omitted
[12/22/23, 3:26:27 PM] Ismael: que pasó yara
[12/22/23, 3:41:39 PM] Yara: Te queria mandar algo
[12/22/23, 3:43:17 PM] Ismael: no yara
[12/22/23, 3:43:19 PM] Ismael: no hagas eso
[12/22/23, 3:50:34 PM] Yara: Vas a estar en tu casa o no jesus ismael
‎[12/22/23, 3:50:36 PM] Yara: ‎sticker omitted
[12/22/23, 3:51:38 PM] Ismael: no
[12/22/23, 3:52:19 PM] Yara: Y mañana?
[12/22/23, 3:56:02 PM] Ismael: no yara no me mandes nada
‎[12/22/23, 3:56:05 PM] Ismael: ‎sticker omitted
[12/22/23, 4:04:10 PM] Yara: JAJAJA isma
[12/22/23, 4:04:13 PM] Yara: Vas a estar o no
[12/22/23, 4:04:26 PM] Yara: Que lo reciba quien sea entonces
‎[12/22/23, 4:04:31 PM] Yara: ‎sticker omitted
[12/22/23, 4:05:20 PM] Ismael: mi prima creo
[12/22/23, 4:05:47 PM] Ismael: nooo yaraa
[12/22/23, 4:05:51 PM] Ismael: no me mandes nada porfa
[12/22/23, 4:06:05 PM] Yara: Ay
‎[12/22/23, 4:06:19 PM] Yara: ‎sticker omitted
[12/22/23, 4:06:30 PM] Yara: Por que no vas a a estar tu?
[12/22/23, 4:06:58 PM] Ismael: me iré a un rancho
[12/22/23, 4:24:48 PM] Yara: No pues ya que
‎[12/22/23, 6:08:15 PM] Ismael: ‎sticker omitted
‎[12/22/23, 6:34:40 PM] Yara: ‎sticker omitted
[1/10/24, 10:23:46 PM] Ismael: mira
[1/10/24, 10:23:47 PM] Ismael: tu
‎[1/10/24, 10:23:48 PM] Ismael: ‎image omitted
[1/10/24, 10:24:55 PM] Yara: Que es esoooo JAJJAJA
‎[1/10/24, 10:24:56 PM] Yara: ‎sticker omitted
[1/10/24, 10:25:09 PM] Yara: Y de donde sacas las fotos, yo no tengo ninguna
[1/10/24, 10:25:36 PM] Ismael: fue mi cumpleaños
[1/10/24, 10:25:39 PM] Ismael: del chavo del 8
‎[1/10/24, 10:25:42 PM] Ismael: ‎image omitted
[1/10/24, 10:26:20 PM] Yara: Ayyyy que bonitoooo JAJAJ
[1/10/24, 10:26:35 PM] Yara: Brando y emanuel estan ahi no?
[1/10/24, 10:26:44 PM] Yara: Y gael
[1/10/24, 10:27:17 PM] Ismael: no se
‎[1/10/24, 10:27:21 PM] Ismael: ‎image omitted
[1/10/24, 10:28:56 PM] Yara: Yo ni me acordaba del salón
‎[1/10/24, 10:29:08 PM] Yara: ‎sticker omitted
[1/18/24, 9:34:57 PM] Yara: Isma vas a ir a lo del Abraham
[1/18/24, 9:34:59 PM] Yara: ?
[1/18/24, 9:42:10 PM] Ismael: no se
[1/27/24, 6:24:55 PM] Yara: Ismaaa
[1/27/24, 6:24:58 PM] Yara: No vas a venir??
[1/27/24, 6:26:13 PM] Ismael: si voy es tarde
[1/27/24, 6:26:32 PM] Yara: A que hora?
‎[1/27/24, 6:26:35 PM] Yara: ‎sticker omitted
[1/27/24, 6:30:44 PM] Ismael: no se
[1/27/24, 6:30:59 PM] Ismael: yo creo que no iré
[1/27/24, 6:31:14 PM] Yara: Por queeee
[2/6/24, 4:33:35 PM] Ismael: yara
[2/6/24, 4:33:56 PM] Yara: Mande
[2/6/24, 4:35:42 PM] Ismael: me pasas los trabajos de hoy porfa
[2/6/24, 4:38:06 PM] Yara: No estoy en mi casa, cuando llegue te los paso
‎[2/6/24, 4:38:07 PM] Yara: ‎sticker omitted
[2/6/24, 4:38:13 PM] Yara: Por que no fuiste?
[2/6/24, 4:56:27 PM] Ismael: me enferme
‎[2/6/24, 6:41:20 PM] Yara: ‎image omitted
‎[2/6/24, 6:41:20 PM] Yara: ‎image omitted
‎[2/6/24, 6:41:46 PM] Yara: ‎image omitted
[2/6/24, 6:42:12 PM] Yara: En orientación no estuve y no tuvimos ingles
‎[2/6/24, 6:42:28 PM] Yara: ‎sticker omitted
[2/6/24, 7:37:09 PM] Ismael: Gracias
‎[2/7/24, 7:44:33 AM] Yara: ‎image omitted
‎[2/7/24, 7:44:50 AM] Yara: ‎image omitted
‎[2/7/24, 7:45:29 AM] Yara: ‎sticker omitted
‎[2/7/24, 9:01:40 AM] Yara: ‎image omitted
[2/7/24, 1:29:36 PM] Ismael: gracias
‎[2/7/24, 1:30:37 PM] Yara: ‎image omitted
[2/7/24, 1:31:11 PM] Ismael: no puede ser
[2/7/24, 1:31:48 PM] Yara: Como tu no vienes se la pasa enfadandome a mi, medio acosa
‎[2/7/24, 1:31:52 PM] Yara: ‎sticker omitted
[2/7/24, 6:59:26 PM] Ismael: oye yara
[2/7/24, 6:59:30 PM] Ismael: que hiceiron en ingles?
[2/7/24, 7:09:30 PM] Yara: Escribir las reglas que mando en las que ya habiamos hecho
[2/7/24, 7:09:47 PM] Yara: Y en mecánica igual, lo que mando
[2/7/24, 7:25:27 PM] Ismael: Y les firmo?
[2/7/24, 7:37:11 PM] Yara: Na
[2/14/24, 3:20:52 PM] Ismael: que vas a daer de regalo yara?
[2/14/24, 3:44:58 PM] Ismael: despierta yaaraa
‎[2/14/24, 3:45:56 PM] Yara: ‎sticker omitted
[2/14/24, 3:46:49 PM] Yara: Pues lo que dijo la maestra de la carta y algún chocolate nose
‎[2/18/24, 12:04:13 AM] Ismael: ‎image omitted
[2/18/24, 12:04:19 AM] Ismael: yara
[2/18/24, 7:21:20 AM] Yara: Pues ay
‎[2/18/24, 7:21:21 AM] Yara: ‎sticker omitted
[2/18/24, 7:21:36 AM] Yara: Los dos estan muy altos
‎[2/18/24, 1:19:15 PM] Ismael: ‎image omitted
[2/18/24, 1:19:20 PM] Ismael: mira
[2/18/24, 1:19:25 PM] Ismael: recordando
‎[2/18/24, 1:19:29 PM] Ismael: ‎image omitted
[2/18/24, 1:25:15 PM] Yara: Que hermosooooooooo
[2/18/24, 1:25:25 PM] Yara: Ay, es niña no?
‎[2/18/24, 1:25:38 PM] Yara: ‎sticker omitted
[2/18/24, 1:25:49 PM] Ismael: es niña
[2/18/24, 1:26:00 PM] Yara: Que bonita foto y que bonito perrito
[2/18/24, 1:26:12 PM] Ismael: ya se mimio
‎[2/18/24, 1:26:25 PM] Ismael: ‎image omitted
[2/18/24, 1:27:17 PM] Yara: Ayyyyyyy que bonitoooo
‎[2/18/24, 1:27:20 PM] Yara: ‎sticker omitted
[2/18/24, 1:27:50 PM] Ismael: BONITA
[2/18/24, 1:28:02 PM] Yara: AYYYY
[2/18/24, 1:28:05 PM] Yara: PERDÓN
‎[2/18/24, 1:28:10 PM] Yara: ‎sticker omitted
[2/18/24, 1:28:15 PM] Yara: que BONITAAA
‎[2/18/24, 1:28:32 PM] Ismael: ‎sticker omitted
